آخذ,گیرنده
مخرب,ویرانگر;تباهگر;ویران گر
مخزن,انبار;انباشتگاه;اندوختگاه;گنجینه
مخصوص,ویژه;برگزیده;خودویژه
مخفی,پنهان;پنهانی;سربسته;ناپیدا;نهان;نهفته
مخفیانه,پنهانی
مخفیگاه,نهانگاه
مخلوط,در هم آمیخته;درهم آمیخته;درهم آمیزه
مخلوط کردن,آمیختن;درآمیختن;آمیختن;درآمیختن
مخلوق,آفریده
مداخله,پادرمیانی;دست اندازی;دست درازی
مداوم,همیشگی;پیاپی;هموار;یکسره
مدت مدید,دیرگاه
مدتی است,چندی است
مدد,یاری;کمک;یاوری
مدرس,استاد;آموزگار
مدرسین,آموزگاران
مدرن,نوین;امروزین
مدفون کردن,به خاک سپردن
مدل,الگو
مدینه فاضله,آرمانشهر
مذاکره,گفتگو;گفت و گذار;گفت وشنود
مذبوحانه,نافرجام
مذکر,نر;مرد;نرینه
مذمت کردن,نکوهیدن
مراتع,چراگاه‌ها;چراگاه‌ها;مرغزارها
مراجعت,بازگشت;بازگشتن;برگشتن
مربع,چهارگوش
مرتبا,پی در پی
مرتباً,پی در پی
مرتبط,پیوسته;درپیوند
مرتع,چراگاه;چمنزار
مرتعش,لرزان;جنبان;لرزنده
مرحله دوم,گام دوم;گامه دوم
مرحومه,شادروان;آمرزیده;زندیاد
مرسوله پستی,بسته پستی
مرسی,سپاس
مرض,بیماری
مرطوب,نمناک;نمور;نمدار;تر
مرکز تحقیقات,پژوهشگاه
مرور,بازبینی;بازنگری;دوباره خواندن;دوباره نگریستن;رفت و آمد
مریخ,بهرام;وهرام
مرید,پیرو;دنباله رو;سرسپرده
مریض,بیمار;دردمند;رنجور;ناخوش
مریض خانه,بیمارستان
مریضی,بیماری
مزاح,شوخی;لودگی;مسخرگی
مزاحم شدن,دردسر دادن
مزیت,برتری;افزونی
مزین,آراسته;آرایش;آراینده;زیور
مسافر,رهنورد;رهسپار;گشتار
مساوات,برابری;همسانی;یکسانی
مساوی,برابر;پایاپای;هم اندازه;همتای;یکسان
مستبد,خودکامه;خودرای;خودسر;خیره سر
مستبدان,خودکامگان
مستتر,نهان;پنهان
مستحضر,آگاه;آشنا;دانسته
مستحق,سزاوار;در خور;شایسته
مستضعف,بینوا;تنگدست;تهیدست;درمانده;ستمدیده;فرودست;ناتوان
مستضعف,ناتوان;بینوا;تنگدست;تهیدست;درمانده
مستفیض,بهره مند;برخوردار
مستقیم,آشکارا;سر راست;یکراست;یکسره
مستقیماً,آشکارا;یکراست
مستمر,پیوسته;پی درپی;همیشه
مستمعین,شنوندگان
مستهلک,فرسوده;از میان رفته;نابود;نیست
مستولی,چیره;پیروزمند;دست یافته
مسخره است,خنده دار است
مسقط الراس,زادگاه
مسلخ,کشتارگاه
مسلط,چیره;پیروز;پیروزمند;چیره دست
مسئولان,کارگزاران;دست اندرکاران
مسیر,راه;راه رو;روش;گذر;گذرگاه;گشتگاه
مسیل,خشکرود;آبرا
مشارالیه,نامبرده
مشاهده کردن,تماشا کردن;درنگریستن
مشاور,رایزن;رایزنی;همسگال
مشترک المنافع,همسود
مشخصه,ویژگی;شناسه
مشرق,خاور
مشقت,رنج;دشواری;سختی
مشکل,دشواری;دشوار;پیچیده;چالش;دشواره;سخت
مشکل است,سخت است
مشکلات,دشواری ها
مشورت,رایزنی;کنکاش;همپرسی
مصدوم,آسیب دیده;آسیب‌دیده;زخمی;کوفته
مصلی,نمازگاه;نماز خانه
مضایقه نمی‌کنم,فروگزاری نمی کنم
مضطرب,پریشان;آسیمه سر;دلواپس;سراسیمه;نگران
مضطرب هستم,پریشانم
مضیقه,تنگنا;دشواری;سختی
مطالبات,خواسته ها
مطالعات,پژوهش;پژوهش ها
مطبخ,آشپزخانه
مطرح کردن,در میان گذاشتن
مطلع,آگاه;دانا
مطمئنا,بی گمان
مطمئناً,بی گمان
مطیع,فرمانبردار;رام;سرسپرده
مظلوم,ستمدیده;ستمکش
مظهر یا سمبول,نماد
مع الوصف,با اینهمه
مع هذا,با اینهمه
معاد,رستاخیز
معادل,برابر;هم ارز;همچند;همسنگ
معاش,روزی;زیست;گذران
معاشرت,رفت و آمد;همزیستی;همنشینی
معاصر,امروزین;امروزی;هم روزگار;همدوره;همزمان
معافیت,بخشودگی;برکناری;رهایی
معاملات,داد و ستدها
معاندت,دشمنی
معاون,دستیار;کاریار;همیار;یاور
معتقدات,باورها
معدودی,شماری
معروف,سرشناس;پرآوازه;شناخته;شناخته شده;نامدار;نامدار;نامور;نامور
معروفترین,نامی ترین
معضل,کاستنی;دشواری
معطر,خوشبو;بویا
معقول,بخردانه;بادب;خردمند
معلم,آموزگار;آموزنده
معلومات,دانسته ها
معما,چیستان;راز
معمم,دستاربند;دستار بند
معلوم است,آشکار است
مغرب,باختر
مغرور,خودخواه;خود;خود پسند;خودبین;خودپسند;گرانسر
مغفرت,آمرزش;بخشایش;پوزش
مفتوح,باز
مفرح,دلگشا;شادی آفرین;شادی بخش
مفقود شده,گم شده ناپدید شده;گم شده
مفلوک,بیچاره;درمانده;بدبخت;تهیدست
مفید,سودمند;بارور;سودبخش;کارآمد
مقابله,رویارویی;درگیری;رویبرویی;ستیز
مقارن,همزمان;پیرامون;نزدیک;همهنگام
مقاله,نوشتار;سخن;گفتار;نامه
مقاومت,پایداری;ایستادگی;ایستاده گری
مقایسه,سنجش;برابری;هم سنجی;همسنجی
مقایسه می‌کنم,می سنجم
مقبره,آرامگاه;دخمه;گور;مغاک
مقتولین,جان باختگان;کشتگان
مقداری,اندکی;چندی
مقدمه,پیشگفتار;پیش‌آغاز;پیش‌درآمد;پیش‌گفتار;دیباچه;دیباجه;سرآغاز
مقر سپاه,ستاد سپاه
مقررات,آیین نامه;آیین نامه;آیین نامه‌ها;آیین نامه‌ها;روش‌ها;شیوه‌ها
مقطعی,دوره ای
مقطوع النسل,بی فرزند
مقننه,آیینگذاری
مقنی,چاه کن;کاریزکن;کنادگر;لایروب
مقوله,زمینه;جستار;گویه
مکانیزم,سازوکار
مکث,درنگ;ایست
مکرمه,گرامی
منکر شد,زیرش زد
منهدم,نابود;فروپاشیده;فروریخته;ویران
منوط به,وابسته به
مهارت,چیرگی;چیره دستی;زبردستی;کاردانی;ورزیدگی
مهلک,کشنده;مرگبار
مهیا,آماده;ساخته و پرداخته;فراهم
مواجه,روبرو;دچار;رو در رو;رویارویی
موازنه,برابری;برابر کردن;همسنگی
موازنه قدرت,برابری نیروها
موافق,همداستانم
موثر,کارساز;کارآمد;کارایی;کارگر;کاری;نشانگذار;هنایا;هناینده
موجب نگرانی شد,مایه نگرانی شد
موجبات,زمینه ها;بایسته‌ها;زمینه‌ها;زمینه‌های
موجه,پذیرفتنی;پذیرفته;پسندیده;درست انگاشته;روا;شایسته
مورخ,گذشته نگار;تاریخدان;کهن نگار;هنگامه
مورد,باره;برای;نشانه;نمونه
مورد نظر,دلخواه
موزه,دیرینکده;گنج خانه;گنجینه;نمایشگاه
موسس,بنیادگزار;بنیادگذار;بنیانگذار;بنیانگذار;بنیانگزار;پایه گذار
موسسه,بنیاد;نهاد;سازمان;بنگاه
موضوع,جستار;نکته;باره;پرسمان;زمینه;سخن;نهاده;نهشته
موعد,زمان;سررسید;هنگام
موفق باشید,پیروز باشید
موفقیت,کامیابی;پیروزگری;پیروزی;کامکاری;کامیابی
موقت,گذرا;چندگاهه;زودگذر;ناپایدار
مولود,فرزند;فرزاد
مومن,باورمند;باوردار;پارسا;پرهیزکار;گرویده
مونث,ماده;مادینه
میادین,میدان ها
میسر است,شدنی است
میلاد,زادروز
مینیاتور,ریزنگاره
مینیاتوری,ریزنگارگری;ریزنگاری
مینیاتوریست,ریزنگارنده
نادم,پشیمان;شرمسار
نارضایتی,ناخشنودی
ناشی از,برآمده از
ناشی شده است,برآمده است
ناشی می‌شود,بر می آید
ناطق,سخنران;سخنگو;سخنگوی;سخنور;گویا
ناعدالتی,بی دادگری
نامرتبی,نا به سامانی
نامطلوب,ناپسند;ناخواسته
نامنظم,نا به سامان;بی سامان
ناموفق,ناکام
نامیمون,ناخجسته;نافرخنده
نبض,تپش
نجاری,درودگری
نجوم,اخترشناسی;اختر شناسی;اخترماری;ستاره شناسی
نحوه,روش;شیوه
نحوه کار,روش کار
ندامت,پشیمانی;افسوس;شرمساری
نزاع,کشمکش;درگیری;زدوخورد;ستیز;ستیزه
نزول پول,بهره پول
نزولی,کاهنده;فروریز
نسبتا,بسنجش;تا اندازه ای;تااندازه ای;کمابیش
نسبتاً,کمابیش
نسل,دودمان;تبار;تخمه;نژاد
نسوان,زنان;بانوان
نشاط,شادی;رامش;شادمانی;شور
نشریه ادواری,گاهنامه
نشریه هفتگی,هفته نامه
نصب کردن,گذاشتن;برنشاندن;برنشانیدن
نصیحت,پند یا اندرز;اندرز;پند;سفارش
نطق,سخنرانی;سخنگویی;سخنوری;گفتار
نظارت,بازبینی;بازرسی;پاییدن;دیدوری;فردید;وارسی
نظاره گر,بیننده
نظافت,پاکیزگی;پاکیزه کردن;رفت و روب
نظافت را رعایت کنید,پاکیزه نگه دارید
نظر به اینکه,از آنجا که
نفر,تن;سر;کس
نفع,سود;بازدهی;بهره
نفع خالص,سود ویژه
نقطه عطف,چرخشگاه
نقطه نظر,دیدگاه;نگرش
نقیصه,کاستی
نمک طعام,نمک خوراکی
نهایتا,سرانجام
نهایتاً,سرانجام
نهایی,پایانی;انجامین;فرجامین;کرانین
نهضت,جنبش
نواقص,کاستی ها
نورانی,درخشان;روشن
نوشتجات,نوشته ها
نظارت,بازبینی;بازرسی;پاییدن;دیدوری;فردید
ناب,سره
ناجور,ناهماهنگ
نامناسب,بی قواره
ناشی از,برآمده از
ناشی شده است,برآمده است
نکات,نکته‌ها
وثیقه,پشتوانه
وجود,هستی;هست;بودش;فرتاش;هستش
وحدت,همبستگی;همبستگی;یک‌پارچگی;یگانگی
وحشت کردن,ترسیدن;هراسیدن
وحشتناک,هراسناک;ترسناک;دهشتناک;هراس انگیز
وحشیانه,ددمنشانه
وخیم,ناگوار
ودیعه,سپرده;گروسپاری;نهاده
وراث,بازماندگان
وراجی,پرگویی
ورم,آماس;باد
ورید,رگ;سیاهرگ
وزین,سنگین;ارزشمند;گرانسنگ;گرانمایه
وساطت,میانجیگری;پا در میانی;پادرمیانی;میانجی
وضع حمل,زایمان;زایش
وضو,دست نماز;پادیاب
وطن,میهن;زاد و بوم;زادگاه
وطنی,میهنی
وفات,مرگ;درگذشت;میرش
وفور,فراوانی;بسیاری;فراوان;فزونی
وقاحت,بی شرمی;بی‌شرمی;گستاخی
وقایع,سرگذشتها;رویدادها;رخدادها
وقتی که,هنگامیکه
وقیح,بی شرم;بی آبرو;پررو;دریده;گستاخ
وکیل مجلس,نماینده انجمن
ولادت,زادروز;زادن;زایش;زاییدن
ولاغیر,و دیگر هیچ
ولیعهد,جانشین
هاله,آرک;هاله
همان طور,همانگونه;هم آنسان;همان جور
همجهت,همسو
همفکران,هم اندیشان
همینطور,همینگونه
هیچ وجه,هیچگونه
هیچوقت,هیچگاه
هضم کردن,گواریدن;گوارش
وحدت,همبستگی;یکپارچگی;یگانگی
یاغی,سرکش;گردنکش;نافرمان
یقین,باور;بی شک;بی گمانی;بیگمان
یقینا,بی گمان;بیگمان
یقیناً,بی گمان
یک ذره,یک خرده
یک ربع,یک چارک;یک چهارم
یک عده,شماری
یکطرفه,یکسویه
یومیه,روزانه;هر روز
